track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
trk_1014,Eminem,Cruel Vibes (Deluxe Edition),Cruel Vibes,69,257510,1,0.373,0.947,6,-11.81,0,0.182,0.298,0.0,0.235,0.454,133.19,4,hip-hop
trk_1015,Post Malone,vampire Dreams (Deluxe Edition),vampire Dreams,63,151292,0,0.496,0.35,5,-5.63,0,0.19,0.259,0.0,0.245,0.638,138.35,4,hip-hop
trk_1016,Dua Lipa,Cruel Chamber (Deluxe Edition),Cruel Chamber,76,159522,0,0.425,0.612,1,-11.94,0,0.286,0.33,0.0,0.069,0.591,128.47,4,dance-pop
trk_1017,Post Malone,Golden Hero (Deluxe Edition),Golden Hero,72,252463,0,0.632,0.712,7,-4.51,1,0.103,0.473,0.0,0.202,0.272,170.51,4,hip-hop
trk_1018,Bruno Mars,Die Chamber (Deluxe Edition),Die Chamber,55,240101,0,0.462,0.365,4,-5.74,1,0.181,0.473,0.0,0.278,0.483,160.23,4,r&b
trk_1019,Justin Bieber,Greedy Echoes (Deluxe Edition),Greedy Echoes,97,207812,0,0.573,0.791,4,-7.99,0,0.317,0.128,0.0,0.184,0.503,94.18,4,pop
trk_1020,Bruno Mars,Levitating Waves (Deluxe Edition),Levitating Waves,40,202387,0,0.45,0.936,10,-12.11,1,0.222,0.03,0.0,0.163,0.166,130.46,4,r&b
trk_1021,Justin Bieber,Starboy Vibes (Deluxe Edition),Starboy Vibes,44,149132,1,0.815,0.802,3,-8.28,0,0.083,0.445,0.0,0.118,0.158,123.78,4,pop
trk_1022,Imagine Dragons,Golden Heart (Deluxe Edition),Golden Heart,55,191458,0,0.446,0.392,9,-7.91,1,0.122,0.128,0.0,0.184,0.547,115.78,4,rock
trk_1023,Harry Styles,Peaches Chamber (Deluxe Edition),Peaches Chamber,64,175759,1,0.633,0.804,1,-10.75,0,0.297,0.107,0.0,0.253,0.885,105.04,4,pop-rock
trk_1024,Drake,Lucid Waves (Deluxe Edition),Lucid Waves,86,171658,1,0.752,0.547,0,-3.33,1,0.093,0.171,0.0,0.14,0.668,88.29,4,hip-hop
trk_1025,Kendrick Lamar,Flowers Lights (Deluxe Edition),Flowers Lights,65,157673,1,0.832,0.838,5,-8.32,0,0.306,0.183,0.0485,0.213,0.905,172.87,4,hip-hop
trk_1026,SZA,Sunflower World (Deluxe Edition),Sunflower World,49,217458,0,0.94,0.74,5,-3.72,1,0.142,0.728,0.0,0.229,0.496,98.14,4,r&b
trk_1027,Drake,Midnight Hour (Deluxe Edition),Midnight Hour,77,167070,1,0.468,0.366,0,-6.94,0,0.238,0.875,0.0,0.141,0.535,129.73,4,hip-hop
trk_1028,Bruno Mars,Die Dreams (Deluxe Edition),Die Dreams,90,156828,0,0.474,0.603,8,-9.34,0,0.244,0.679,0.0,0.225,0.7,134.6,4,r&b
trk_1029,Eminem,Die Memories (Deluxe Edition),Die Memories,92,174535,1,0.776,0.868,8,-7.92,1,0.31,0.104,0.0,0.121,0.778,104.31,4,hip-hop
trk_1030,Olivia Rodrigo,Golden Nights (Deluxe Edition),Golden Nights,81,206942,1,0.561,0.482,11,-5.36,1,0.208,0.875,0.0,0.073,0.65,94.28,4,pop-rock
trk_1031,Doja Cat,Anti Dreams (Deluxe Edition),Anti Dreams,47,229493,1,0.47,0.92,10,-6.26,1,0.289,0.643,0.0,0.075,0.78,99.54,4,dance-pop
trk_1032,Travis Scott,Starboy Echoes (Deluxe Edition),Starboy Echoes,100,228188,1,0.399,0.694,4,-8.9,1,0.095,0.033,0.0,0.182,0.446,117.82,4,hip-hop
trk_1033,Taylor Swift,Golden Memories (Deluxe Edition),Golden Memories,85,232174,1,0.584,0.882,10,-3.97,0,0.29,0.482,0.0,0.055,0.462,88.37,4,pop
trk_1034,Doja Cat,Espresso Symphony (Deluxe Edition),Espresso Symphony,91,192398,0,0.93,0.75,8,-12.83,1,0.218,0.28,0.0,0.187,0.812,121.81,4,dance-pop
trk_1035,Billie Eilish,Blinding You (Deluxe Edition),Blinding You,76,205900,1,0.848,0.763,4,-6.85,1,0.133,0.394,0.0,0.09,0.808,147.04,4,alt-pop
trk_1036,Taylor Swift,Shape Lights (Deluxe Edition),Shape Lights,78,181138,0,0.761,0.656,8,-10.85,1,0.104,0.156,0.0,0.336,0.337,129.82,4,pop
trk_1037,Drake,Peaches Summer (Deluxe Edition),Peaches Summer,66,174741,0,0.893,0.311,6,-3.0,1,0.281,0.729,0.0,0.202,0.431,154.48,4,hip-hop
trk_1038,Imagine Dragons,Shape You (Deluxe Edition),Shape You,90,211966,1,0.901,0.877,10,-12.59,0,0.129,0.799,0.0,0.306,0.552,98.5,4,rock
trk_1039,Post Malone,Golden Hour (Deluxe Edition),Golden Hour,51,258705,1,0.838,0.573,9,-12.35,1,0.326,0.773,0.0,0.099,0.688,163.09,4,hip-hop
trk_1040,Imagine Dragons,Espresso Symphony (Deluxe Edition),Espresso Symphony,77,207481,0,0.85,0.861,10,-5.96,1,0.081,0.421,0.0,0.264,0.487,135.92,4,rock
trk_1041,Ed Sheeran,Greedy Lover (Deluxe Edition),Greedy Lover,100,224166,0,0.439,0.319,9,-7.46,0,0.097,0.744,0.0,0.233,0.162,85.85,4,pop
trk_1042,Coldplay,Espresso World (Deluxe Edition),Espresso World,59,203913,0,0.533,0.667,10,-6.17,0,0.174,0.235,0.0,0.33,0.866,98.79,4,rock
trk_1043,Olivia Rodrigo,Cruel Summer (Deluxe Edition),Cruel Summer,56,142258,1,0.353,0.582,9,-12.98,1,0.097,0.075,0.249,0.179,0.816,161.04,4,pop-rock
trk_1044,Billie Eilish,Die Chamber (Deluxe Edition),Die Chamber,53,235076,0,0.902,0.469,6,-7.13,0,0.182,0.415,0.3168,0.2,0.16,173.53,4,alt-pop
trk_1045,SZA,Die Summer (Deluxe Edition),Die Summer,68,239015,1,0.61,0.348,5,-13.37,1,0.047,0.487,0.0,0.304,0.302,140.29,4,r&b
trk_1046,Dua Lipa,Greedy Lover (Deluxe Edition),Greedy Lover,100,185908,0,0.589,0.732,9,-7.98,0,0.183,0.807,0.0,0.221,0.603,160.6,4,dance-pop
trk_1047,Dua Lipa,Peaches World (Deluxe Edition),Peaches World,82,178162,0,0.476,0.564,7,-12.76,1,0.261,0.876,0.0,0.302,0.684,88.3,4,dance-pop
trk_1048,Bad Bunny,Peaches Plan (Deluxe Edition),Peaches Plan,81,235968,1,0.371,0.851,10,-3.81,1,0.208,0.413,0.0,0.187,0.271,121.58,4,reggaeton
trk_1049,Bad Bunny,Lucid Parade (Deluxe Edition),Lucid Parade,89,222954,1,0.836,0.848,1,-9.55,1,0.199,0.666,0.0,0.09,0.655,85.24,4,reggaeton
trk_1050,Ed Sheeran,vampire Parade (Deluxe Edition),vampire Parade,60,189656,1,0.912,0.445,11,-10.07,0,0.236,0.356,0.0,0.326,0.413,163.17,4,pop
trk_1051,The Weeknd,vampire Summer (Deluxe Edition),vampire Summer,70,207379,0,0.371,0.962,6,-10.74,1,0.149,0.441,0.0,0.209,0.295,164.15,4,pop
trk_1052,Billie Eilish,Save Summer (Deluxe Edition),Save Summer,100,232368,0,0.668,0.957,5,-11.15,1,0.198,0.514,0.0,0.335,0.7,159.59,4,alt-pop
trk_1053,The Weeknd,Peaches Lover (Deluxe Edition),Peaches Lover,34,243033,1,0.71,0.57,3,-5.09,0,0.246,0.536,0.0,0.077,0.368,92.66,4,pop
trk_1054,Post Malone,As It Was Dreams (Deluxe Edition),As It Was Dreams,37,222010,1,0.706,0.444,7,-7.68,0,0.334,0.801,0.0,0.347,0.664,119.63,4,hip-hop
trk_1055,Billie Eilish,Levitating Lover (Deluxe Edition),Levitating Lover,70,219248,0,0.888,0.619,8,-11.2,1,0.273,0.64,0.0,0.165,0.733,172.79,4,alt-pop
trk_1056,SZA,Espresso Vibes (Deluxe Edition),Espresso Vibes,79,166269,0,0.701,0.837,1,-8.8,1,0.251,0.027,0.2707,0.056,0.801,157.88,4,r&b
trk_1057,Coldplay,As It Was Plan (Deluxe Edition),As It Was Plan,67,151322,0,0.675,0.962,0,-5.33,1,0.253,0.674,0.0,0.326,0.831,87.23,4,rock
trk_1058,Coldplay,Sunflower Memories (Deluxe Edition),Sunflower Memories,76,164860,1,0.36,0.393,8,-8.06,0,0.325,0.024,0.0,0.226,0.409,111.23,4,rock
trk_1059,Olivia Rodrigo,Cruel Fantasy (Deluxe Edition),Cruel Fantasy,78,255570,0,0.491,0.638,7,-11.55,1,0.273,0.362,0.0,0.055,0.246,160.02,4,pop-rock
trk_1060,Post Malone,Lucid Echoes (Deluxe Edition),Lucid Echoes,35,193858,0,0.919,0.607,10,-12.41,1,0.143,0.487,0.0,0.265,0.177,104.25,4,hip-hop
trk_1061,Drake,Sunflower Summer (Deluxe Edition),Sunflower Summer,50,238064,1,0.626,0.72,3,-13.02,1,0.204,0.62,0.0,0.077,0.321,151.46,4,hip-hop
trk_1062,Travis Scott,Shape Hero (Deluxe Edition),Shape Hero,75,179929,1,0.475,0.855,7,-7.06,0,0.087,0.086,0.2213,0.254,0.697,173.02,4,hip-hop
trk_1063,Bruno Mars,Cruel Chamber (Deluxe Edition),Cruel Chamber,83,211484,1,0.889,0.421,0,-11.04,1,0.173,0.037,0.0,0.069,0.673,86.51,4,r&b
trk_1064,Eminem,Golden Memories (Deluxe Edition),Golden Memories,100,212437,0,0.506,0.961,4,-5.76,1,0.085,0.044,0.2719,0.21,0.63,126.31,4,hip-hop
trk_1065,Bruno Mars,Cruel Hour (Deluxe Edition),Cruel Hour,58,218300,1,0.364,0.365,0,-11.47,1,0.34,0.576,0.2636,0.233,0.669,152.09,4,r&b
trk_1066,The Weeknd,Starboy Plan (Deluxe Edition),Starboy Plan,42,216266,1,0.358,0.465,7,-12.28,0,0.08,0.546,0.0,0.292,0.691,135.17,4,pop
trk_1067,Taylor Swift,Lucid You (Deluxe Edition),Lucid You,91,152220,0,0.747,0.886,11,-4.21,1,0.249,0.012,0.0,0.108,0.686,114.18,4,pop
trk_1068,Imagine Dragons,Blinding You (Deluxe Edition),Blinding You,83,193910,0,0.479,0.929,9,-5.29,1,0.174,0.741,0.0,0.115,0.445,167.63,4,rock
trk_1069,Ariana Grande,Shape Heart (Deluxe Edition),Shape Heart,36,150213,0,0.535,0.337,7,-9.77,1,0.289,0.062,0.0,0.235,0.83,126.62,4,pop
trk_1070,Drake,Anti Hour (Deluxe Edition),Anti Hour,97,236039,1,0.814,0.503,10,-4.43,1,0.051,0.257,0.0,0.266,0.733,87.62,4,hip-hop
trk_1071,Drake,Midnight Plan (Deluxe Edition),Midnight Plan,96,184475,1,0.697,0.458,7,-9.38,0,0.337,0.267,0.0,0.28,0.242,156.89,4,hip-hop
trk_1072,Coldplay,Golden You (Deluxe Edition),Golden You,78,152459,0,0.602,0.954,8,-11.24,1,0.318,0.73,0.0,0.143,0.253,101.31,4,rock
trk_1073,Doja Cat,Sunflower Fantasy (Deluxe Edition),Sunflower Fantasy,78,152748,0,0.453,0.445,4,-10.28,0,0.329,0.182,0.0,0.103,0.483,139.79,4,dance-pop
trk_1074,Billie Eilish,vampire Chamber (Deluxe Edition),vampire Chamber,82,143187,0,0.941,0.559,7,-3.68,0,0.309,0.057,0.0,0.315,0.284,123.31,4,alt-pop
trk_1075,Dua Lipa,Espresso You (Deluxe Edition),Espresso You,63,200252,1,0.442,0.595,7,-10.61,0,0.314,0.84,0.0,0.245,0.527,92.72,4,dance-pop
trk_1076,Travis Scott,Levitating Plan (Deluxe Edition),Levitating Plan,68,170737,0,0.731,0.973,10,-3.45,0,0.202,0.843,0.0,0.192,0.915,160.64,4,hip-hop
trk_1077,SZA,Levitating You (Deluxe Edition),Levitating You,60,214865,0,0.403,0.848,10,-13.37,1,0.146,0.238,0.2878,0.263,0.178,163.76,4,r&b
trk_1078,Taylor Swift,Greedy Parade (Deluxe Edition),Greedy Parade,68,179046,0,0.355,0.331,11,-10.48,1,0.112,0.155,0.0,0.332,0.892,150.85,4,pop
trk_1079,Kendrick Lamar,Blinding You (Deluxe Edition),Blinding You,100,251064,1,0.912,0.758,11,-3.18,1,0.258,0.027,0.0,0.079,0.586,87.82,4,hip-hop
trk_1080,Drake,Shape Tears (Deluxe Edition),Shape Tears,38,221374,1,0.409,0.583,9,-10.26,1,0.185,0.299,0.0,0.207,0.329,148.07,4,hip-hop
trk_1081,Taylor Swift,Starboy World (Deluxe Edition),Starboy World,86,158732,1,0.856,0.421,4,-12.99,0,0.165,0.424,0.0,0.278,0.423,162.1,4,pop
trk_1082,Coldplay,Blinding Vibes (Deluxe Edition),Blinding Vibes,82,207556,1,0.829,0.971,7,-12.25,1,0.347,0.414,0.0,0.155,0.695,136.2,4,rock
trk_1083,Travis Scott,Espresso Memories (Deluxe Edition),Espresso Memories,35,156293,0,0.719,0.469,1,-13.1,1,0.088,0.342,0.1637,0.076,0.358,102.39,4,hip-hop
trk_1084,Billie Eilish,Anti Lover (Deluxe Edition),Anti Lover,60,149501,0,0.573,0.309,6,-6.25,0,0.31,0.168,0.0,0.105,0.741,169.69,4,alt-pop
trk_1085,Doja Cat,Flowers Chamber (Deluxe Edition),Flowers Chamber,12,219055,1,0.476,0.349,7,-11.44,0,0.213,0.477,0.2707,0.098,0.253,155.77,4,dance-pop
trk_1086,Bad Bunny,Blinding Echoes (Deluxe Edition),Blinding Echoes,70,147474,1,0.566,0.828,7,-8.96,1,0.061,0.388,0.0,0.051,0.755,128.65,4,reggaeton
trk_1087,Doja Cat,Save Plan (Deluxe Edition),Save Plan,72,257542,0,0.614,0.574,8,-11.74,0,0.042,0.821,0.0,0.109,0.729,149.64,4,dance-pop
trk_1088,Coldplay,Humble Chamber (Deluxe Edition),Humble Chamber,83,193581,1,0.882,0.782,0,-5.25,0,0.191,0.209,0.0,0.052,0.75,130.49,4,rock
trk_1089,Imagine Dragons,Espresso Waves (Deluxe Edition),Espresso Waves,65,216299,0,0.729,0.53,4,-10.96,1,0.312,0.077,0.0,0.077,0.862,132.63,4,rock
trk_1090,Ariana Grande,Sunflower Echoes (Deluxe Edition),Sunflower Echoes,71,171025,0,0.678,0.405,4,-5.27,1,0.305,0.109,0.0,0.153,0.268,91.74,4,pop
trk_1091,Post Malone,Levitating Hero (Deluxe Edition),Levitating Hero,69,161299,1,0.663,0.616,11,-11.31,0,0.265,0.357,0.0,0.075,0.278,104.33,4,hip-hop
trk_1092,SZA,Humble Symphony (Deluxe Edition),Humble Symphony,67,153382,0,0.737,0.41,4,-8.4,1,0.044,0.358,0.0,0.288,0.792,123.29,4,r&b
trk_1093,Billie Eilish,Die Lover (Deluxe Edition),Die Lover,75,151194,0,0.864,0.934,3,-5.72,1,0.079,0.433,0.0,0.152,0.7,90.9,4,alt-pop
trk_1094,Imagine Dragons,Flowers You (Deluxe Edition),Flowers You,66,186277,1,0.509,0.829,10,-5.79,1,0.12,0.153,0.2723,0.203,0.781,123.89,4,rock
trk_1095,The Weeknd,Save Dreams (Deluxe Edition),Save Dreams,72,145967,0,0.82,0.878,2,-10.57,1,0.265,0.338,0.0,0.34,0.454,161.94,4,pop
trk_1096,SZA,Golden Lover (Deluxe Edition),Golden Lover,63,187154,1,0.519,0.693,4,-3.17,0,0.216,0.58,0.0,0.129,0.457,126.64,4,r&b
trk_1097,Travis Scott,Greedy Waves (Deluxe Edition),Greedy Waves,75,140569,1,0.683,0.33,2,-4.36,0,0.332,0.856,0.1817,0.167,0.672,153.92,4,hip-hop
trk_1098,Kendrick Lamar,vampire Memories (Deluxe Edition),vampire Memories,46,198790,0,0.87,0.964,8,-12.81,0,0.337,0.553,0.0,0.119,0.852,162.48,4,hip-hop
trk_1099,Imagine Dragons,Golden Vibes (Deluxe Edition),Golden Vibes,84,190894,0,0.566,0.958,3,-5.95,0,0.063,0.232,0.0,0.1,0.474,160.18,4,rock
trk_1100,Drake,Flowers Chamber (Deluxe Edition),Flowers Chamber,76,255173,0,0.362,0.878,7,-5.44,0,0.087,0.359,0.379,0.157,0.65,107.96,4,hip-hop
trk_1101,Drake,Starboy Lover (Deluxe Edition),Starboy Lover,96,155306,1,0.772,0.383,1,-4.21,0,0.231,0.178,0.0,0.139,0.81,93.03,4,hip-hop
trk_1102,SZA,Lucid Lights (Deluxe Edition),Lucid Lights,52,185325,1,0.55,0.962,11,-5.03,1,0.065,0.519,0.0,0.168,0.748,139.91,4,r&b
trk_1103,Drake,vampire Lights (Deluxe Edition),vampire Lights,63,196414,1,0.513,0.846,11,-7.81,0,0.207,0.115,0.0,0.063,0.321,164.57,4,hip-hop
trk_1104,Billie Eilish,Greedy Lights (Deluxe Edition),Greedy Lights,19,219642,1,0.455,0.542,9,-6.69,0,0.228,0.014,0.0,0.303,0.182,116.92,4,alt-pop
trk_1105,Eminem,Cruel Lights (Deluxe Edition),Cruel Lights,60,160597,1,0.688,0.855,1,-12.97,0,0.303,0.712,0.0,0.173,0.507,135.31,4,hip-hop
trk_1106,Justin Bieber,Greedy Lights (Deluxe Edition),Greedy Lights,52,168207,1,0.488,0.743,8,-11.76,1,0.142,0.828,0.1733,0.112,0.271,112.72,4,pop
trk_1107,Doja Cat,Humble Heart (Deluxe Edition),Humble Heart,90,184156,0,0.732,0.744,0,-7.65,0,0.194,0.506,0.0,0.332,0.69,164.29,4,dance-pop
trk_1108,Eminem,Greedy Symphony (Deluxe Edition),Greedy Symphony,40,221439,0,0.524,0.794,10,-11.66,1,0.303,0.773,0.0,0.178,0.604,152.16,4,hip-hop
trk_1109,Justin Bieber,Die Parade (Deluxe Edition),Die Parade,68,210743,1,0.585,0.963,3,-4.43,0,0.145,0.501,0.0,0.254,0.439,170.49,4,pop
trk_1110,Justin Bieber,Die Plan (Deluxe Edition),Die Plan,95,225643,1,0.459,0.316,9,-13.05,0,0.031,0.03,0.0,0.316,0.39,173.41,4,pop
trk_1111,Ariana Grande,Die Vibes (Deluxe Edition),Die Vibes,51,173698,1,0.889,0.327,5,-6.67,1,0.237,0.543,0.0,0.325,0.657,141.7,4,pop
trk_1112,Doja Cat,Lucid Fantasy (Deluxe Edition),Lucid Fantasy,76,231890,0,0.893,0.324,4,-9.7,0,0.195,0.233,0.0,0.159,0.788,170.01,4,dance-pop
trk_1113,The Weeknd,Shape Tears (Deluxe Edition),Shape Tears,74,157088,0,0.707,0.55,5,-9.2,0,0.046,0.376,0.0,0.341,0.496,106.24,4,pop
trk_1114,Bruno Mars,Flowers World (Deluxe Edition),Flowers World,92,152743,1,0.381,0.356,5,-4.87,1,0.224,0.641,0.0,0.232,0.614,169.61,4,r&b
trk_1115,Taylor Swift,Save Dreams (Deluxe Edition),Save Dreams,83,170454,0,0.58,0.545,11,-12.73,0,0.222,0.235,0.1616,0.106,0.787,106.0,4,pop
trk_1116,Post Malone,Sunflower You (Deluxe Edition),Sunflower You,80,183544,0,0.422,0.722,10,-4.24,0,0.22,0.357,0.3846,0.269,0.86,126.79,4,hip-hop
trk_1117,Bad Bunny,Starboy Dreams (Deluxe Edition),Starboy Dreams,58,162722,1,0.635,0.546,0,-11.85,0,0.205,0.398,0.0,0.084,0.28,114.7,4,reggaeton
trk_1118,Ariana Grande,Save Heart (Deluxe Edition),Save Heart,49,207776,0,0.575,0.576,1,-12.14,1,0.142,0.335,0.0,0.288,0.182,165.95,4,pop
trk_1119,Post Malone,vampire You (Deluxe Edition),vampire You,80,234892,0,0.47,0.592,2,-9.85,1,0.119,0.505,0.0,0.283,0.884,147.47,4,hip-hop
trk_1120,Imagine Dragons,Sunflower You (Deluxe Edition),Sunflower You,37,184839,0,0.845,0.466,11,-12.49,0,0.154,0.839,0.0,0.333,0.813,172.26,4,rock
trk_1121,Billie Eilish,Starboy Tears (Deluxe Edition),Starboy Tears,68,197529,1,0.9,0.533,1,-5.01,1,0.089,0.19,0.0,0.322,0.221,159.06,4,alt-pop
trk_1122,Doja Cat,Flowers Waves (Deluxe Edition),Flowers Waves,57,233455,1,0.541,0.979,4,-10.76,0,0.185,0.107,0.0,0.122,0.213,101.12,4,dance-pop
trk_1123,Imagine Dragons,Cruel You (Deluxe Edition),Cruel You,56,165331,0,0.704,0.864,11,-9.02,0,0.03,0.624,0.0,0.068,0.562,120.74,4,rock
trk_1124,Taylor Swift,vampire Heart (Deluxe Edition),vampire Heart,49,147512,1,0.401,0.387,11,-10.88,0,0.173,0.43,0.0,0.149,0.861,147.93,4,pop
trk_1125,Justin Bieber,Greedy Symphony (Deluxe Edition),Greedy Symphony,83,145015,1,0.822,0.605,7,-5.19,1,0.197,0.086,0.0,0.059,0.182,124.87,4,pop
trk_1126,Billie Eilish,Golden Heart (Deluxe Edition),Golden Heart,55,168486,0,0.903,0.619,3,-13.3,0,0.096,0.29,0.0,0.326,0.355,163.21,4,alt-pop
trk_1127,Justin Bieber,Starboy Vibes (Deluxe Edition),Starboy Vibes,68,221227,1,0.866,0.97,1,-4.61,1,0.161,0.392,0.0,0.226,0.402,148.99,4,pop
trk_1128,Harry Styles,Starboy Dreams (Deluxe Edition),Starboy Dreams,62,141264,1,0.655,0.867,10,-11.28,0,0.273,0.302,0.2522,0.257,0.732,94.47,4,pop-rock
trk_1129,Drake,Greedy Memories (Deluxe Edition),Greedy Memories,80,179304,1,0.393,0.874,3,-4.95,1,0.212,0.29,0.0,0.203,0.277,111.52,4,hip-hop
trk_1130,Ariana Grande,Midnight Tears (Deluxe Edition),Midnight Tears,60,216973,0,0.359,0.954,8,-4.1,1,0.258,0.829,0.0,0.136,0.647,115.18,4,pop
trk_1131,SZA,Levitating Hour (Deluxe Edition),Levitating Hour,62,202728,1,0.491,0.527,9,-3.62,1,0.346,0.698,0.2066,0.308,0.338,121.47,4,r&b
trk_1132,Ed Sheeran,Sunflower You (Deluxe Edition),Sunflower You,66,245471,1,0.678,0.528,1,-12.48,1,0.142,0.483,0.0,0.197,0.29,125.84,4,pop
trk_1133,Taylor Swift,Lucid Tears (Deluxe Edition),Lucid Tears,67,152833,1,0.718,0.328,4,-9.13,0,0.158,0.515,0.0,0.332,0.649,174.97,4,pop
trk_1134,The Weeknd,Starboy Fantasy (Deluxe Edition),Starboy Fantasy,60,169785,1,0.766,0.952,11,-5.14,0,0.04,0.604,0.0,0.224,0.569,91.82,4,pop
trk_1135,Eminem,Greedy Tears (Deluxe Edition),Greedy Tears,41,225168,1,0.679,0.926,5,-11.33,0,0.169,0.802,0.0,0.281,0.793,124.41,4,hip-hop
trk_1136,Justin Bieber,Midnight Dreams (Deluxe Edition),Midnight Dreams,57,153379,0,0.81,0.377,11,-13.52,0,0.296,0.758,0.0,0.268,0.78,134.28,4,pop
trk_1137,Imagine Dragons,Cruel Vibes (Deluxe Edition),Cruel Vibes,60,201592,1,0.83,0.683,1,-9.95,1,0.103,0.589,0.0,0.202,0.354,131.94,4,rock
trk_1138,Drake,Sunflower Tears (Deluxe Edition),Sunflower Tears,60,173864,1,0.624,0.56,2,-5.99,1,0.045,0.842,0.0,0.099,0.182,137.94,4,hip-hop
trk_1139,Drake,Starboy Echoes (Deluxe Edition),Starboy Echoes,67,183888,1,0.705,0.461,7,-9.19,1,0.129,0.272,0.0,0.323,0.169,89.11,4,hip-hop
trk_1140,Doja Cat,Save Hero (Deluxe Edition),Save Hero,70,190944,1,0.841,0.739,2,-12.87,1,0.271,0.164,0.0,0.267,0.297,105.12,4,dance-pop
trk_1141,Olivia Rodrigo,Peaches Heart (Deluxe Edition),Peaches Heart,64,196710,0,0.615,0.795,1,-10.68,0,0.174,0.339,0.0,0.315,0.822,94.7,4,pop-rock
trk_1142,Ariana Grande,Peaches Waves (Deluxe Edition),Peaches Waves,77,238705,0,0.54,0.495,0,-6.14,0,0.04,0.253,0.0,0.084,0.839,138.12,4,pop
trk_1143,Olivia Rodrigo,Shape Parade (Deluxe Edition),Shape Parade,68,141344,1,0.744,0.352,7,-4.27,0,0.199,0.07,0.0,0.114,0.647,156.47,4,pop-rock
trk_1144,Eminem,Save World (Deluxe Edition),Save World,66,219792,0,0.418,0.751,2,-12.37,1,0.039,0.564,0.0,0.15,0.772,156.04,4,hip-hop
trk_1145,Olivia Rodrigo,Cruel You (Deluxe Edition),Cruel You,45,148739,1,0.62,0.483,10,-11.21,1,0.052,0.725,0.0,0.141,0.895,107.5,4,pop-rock
trk_1146,Bad Bunny,Save Hour (Deluxe Edition),Save Hour,74,244037,0,0.941,0.352,3,-8.99,1,0.247,0.803,0.2944,0.312,0.211,98.6,4,reggaeton
trk_1147,Bad Bunny,Save Hour (Deluxe Edition),Save Hour,60,149285,1,0.618,0.812,10,-8.69,1,0.343,0.519,0.0,0.089,0.487,173.88,4,reggaeton
trk_1148,Billie Eilish,Humble You (Deluxe Edition),Humble You,82,143410,1,0.445,0.35,9,-5.19,0,0.12,0.039,0.0,0.346,0.798,106.51,4,alt-pop
trk_1149,Taylor Swift,Blinding Parade (Deluxe Edition),Blinding Parade,33,243051,0,0.572,0.868,1,-11.73,0,0.092,0.358,0.0,0.319,0.684,131.61,4,pop
